HuZom_Id,Age,Num_Fam,Ammo,Bounty,Human_1,Zone_2,Zone_3,Sex_male
110,24,1,4451,24.15,1,0,1,0
111,47,0,8134,52.0,0,0,0,1
112,14,1,9209,14.4542,0,0,1,0
113,22,0,4677,8.05,0,0,1,1
114,20,1,4457,9.825,0,0,1,0
115,17,0,1158,14.4583,0,0,1,0
116,21,0,1752,7.925,0,0,1,1
117,70,0,5406,7.75,0,0,1,1
118,29,1,4837,21.0,0,1,0,1
120,2,6,5441,31.275,0,0,1,0
121,21,2,9044,73.5,0,1,0,1
122,24,0,3032,8.05,0,0,1,1
123,32,1,4036,30.0708,0,1,0,1
124,32,0,5703,13.0,1,1,0,0
125,54,1,2393,77.2875,0,0,0,1
126,12,1,8345,11.2417,1,0,1,1
127,24,0,3846,7.75,0,0,1,1
128,24,0,2851,7.1417,1,0,1,1
129,24,2,4411,22.3583,1,0,1,0
130,45,0,8772,6.975,0,0,1,1
131,33,0,7419,7.8958,0,0,1,1
132,20,0,3900,7.05,0,0,1,1
133,47,1,4063,14.5,0,0,1,0
134,29,1,8561,26.0,1,1,0,0
135,25,0,5192,13.0,0,1,0,1
136,23,0,8238,15.0458,0,1,0,1
137,19,2,6468,26.2833,1,0,0,0
138,37,1,2089,53.1,0,0,0,1
139,16,0,7653,9.2167,0,0,1,1
140,24,0,2914,79.2,0,0,0,1
141,24,2,1454,15.2458,0,0,1,0
142,22,0,6410,7.75,1,0,1,0
143,24,1,7626,15.85,1,0,1,0
144,19,0,3675,6.75,0,0,1,1
145,18,0,1322,11.5,0,1,0,1
146,19,2,1805,36.75,0,1,0,1
147,27,0,8951,7.7958,1,0,1,1
148,9,4,9585,34.375,0,0,1,0
149,36,2,6595,26.0,0,1,0,1
150,42,0,8342,13.0,0,1,0,1
151,51,0,2041,12.525,0,1,0,1
152,22,1,3746,66.6,1,0,0,0
153,55,0,5175,8.05,0,0,1,1
154,40,2,8510,14.5,0,0,1,1
155,24,0,7708,7.3125,0,0,1,1
156,51,1,5298,61.3792,0,0,0,1
157,16,0,6618,7.7333,1,0,1,0
158,30,0,5948,8.05,0,0,1,1
159,24,0,6792,8.6625,0,0,1,1
160,24,10,9223,69.55,0,0,1,1
161,44,1,2393,16.1,0,0,1,1
162,40,0,3530,15.75,1,1,0,0
163,26,0,7126,7.775,0,0,1,1
164,17,0,9627,8.6625,0,0,1,1
165,1,5,8600,39.6875,0,0,1,1
166,9,2,2313,20.525,1,0,1,1
167,24,1,8455,55.0,1,0,0,0
168,45,5,7958,27.9,0,0,1,0
169,24,0,9796,25.925,0,0,0,1
170,28,0,3564,56.4958,0,0,1,1
171,61,0,6994,33.5,0,0,0,1
172,4,5,2825,29.125,0,0,1,1
173,1,2,8207,11.1333,1,0,1,0
174,21,0,1148,7.925,0,0,1,1
175,56,0,2634,30.6958,0,0,0,1
176,18,2,8546,7.8542,0,0,1,1
177,24,4,8169,25.4667,0,0,1,1
178,50,0,2431,28.7125,0,0,0,0
179,30,0,7101,13.0,0,1,0,1
180,36,0,5428,0.0,0,0,1,1
181,24,10,7354,69.55,0,0,1,0
182,24,0,3395,15.05,0,1,0,1
183,9,6,3006,31.3875,0,0,1,1
184,1,3,1150,39.0,1,1,0,1
185,4,2,9588,22.025,1,0,1,0
186,24,0,8739,50.0,0,0,0,1
187,24,1,6194,15.5,1,0,1,0
188,45,0,5177,26.55,1,0,0,1
189,40,2,4507,15.5,0,0,1,1
190,36,0,8576,7.8958,0,0,1,1
191,32,0,5941,13.0,1,1,0,0
192,19,0,4498,13.0,0,1,0,1
193,19,1,8182,7.8542,1,0,1,0
194,3,2,3108,26.0,1,1,0,1
195,44,0,6839,27.7208,1,0,0,0
197,24,0,5701,7.75,0,0,1,1
198,42,1,4219,8.4042,0,0,1,1
199,24,0,4231,7.75,1,0,1,0
200,24,0,9451,13.0,0,1,0,0
201,28,0,1818,9.5,0,0,1,1
202,24,10,7437,69.55,0,0,1,1
203,34,0,8936,6.4958,0,0,1,1
204,45,0,5138,7.225,0,0,1,1
205,18,0,5046,8.05,1,0,1,1
206,2,1,4892,10.4625,0,0,1,0
207,32,1,2428,15.85,0,0,1,1
208,26,0,5265,18.7875,1,0,1,1
209,16,0,1735,7.75,1,0,1,0
210,40,0,3947,31.0,1,0,0,1
211,24,0,8094,7.05,0,0,1,1
212,35,0,2379,21.0,1,1,0,0
213,22,0,6240,7.25,0,0,1,1
214,30,0,8380,13.0,0,1,0,1
215,24,1,2455,7.75,0,0,1,1
217,27,0,9188,7.925,1,0,1,0
218,42,1,9184,27.0,0,1,0,1
219,32,0,6860,76.2917,1,0,0,0
220,30,0,2587,10.5,0,1,0,1
221,16,0,6993,8.05,1,0,1,1
222,27,0,2447,13.0,0,1,0,1
223,51,0,9900,8.05,0,0,1,1
224,24,0,4340,7.8958,0,0,1,1
225,38,1,7255,90.0,1,0,0,1
226,22,0,8762,9.35,0,0,1,1
227,19,0,4732,10.5,1,1,0,1
228,20,0,8201,7.25,0,0,1,1
229,18,0,2675,13.0,0,1,0,1
230,24,4,8312,25.4667,0,0,1,0
231,35,1,4099,83.475,1,0,0,0
232,29,0,1292,7.775,0,0,1,1
233,59,0,8324,13.5,0,1,0,1
234,5,6,1754,31.3875,1,0,1,0
235,24,0,1091,10.5,0,1,0,1
236,24,0,6771,7.55,0,0,1,0
237,44,1,9120,26.0,0,1,0,1
238,8,2,9179,26.25,1,1,0,0
239,19,0,1582,10.5,0,1,0,1
240,33,0,2328,12.275,0,1,0,1
241,24,1,8404,14.4542,0,0,1,0
242,24,1,8165,15.5,1,0,1,0
243,29,0,3346,10.5,0,1,0,1
244,22,0,4157,7.125,0,0,1,1
245,30,0,3517,7.225,0,0,1,1
246,44,2,9629,90.0,0,0,0,1
247,25,0,7695,7.775,0,0,1,0
248,24,2,4111,14.5,1,1,0,0
249,37,2,1957,52.5542,1,0,0,1
250,54,1,3442,26.0,0,1,0,1
251,24,0,6184,7.25,0,0,1,1
252,29,2,9094,10.4625,0,0,1,0
253,62,0,7727,26.55,0,0,0,1
254,30,1,8778,16.1,0,0,1,1
255,41,2,9866,20.2125,0,0,1,0
256,29,2,7397,15.2458,1,0,1,0
257,24,0,2516,79.2,1,0,0,0
258,30,0,7048,86.5,1,0,0,0
260,50,1,2253,26.0,1,1,0,0
261,24,0,4843,7.75,0,0,1,1
262,3,6,8516,31.3875,1,0,1,1
263,52,2,4469,79.65,0,0,0,1
264,40,0,4039,0.0,0,0,0,1
265,24,0,6946,7.75,0,0,1,0
266,36,0,2082,10.5,0,1,0,1
267,16,5,9237,39.6875,0,0,1,1
268,25,1,2775,7.775,1,0,1,1
271,24,0,3452,31.0,0,0,0,1
272,25,0,8966,0.0,1,0,1,1
273,41,1,1610,19.5,1,1,0,0
274,37,1,5100,29.7,0,0,0,1
275,24,0,6946,7.75,1,0,1,0
276,63,1,2339,77.9583,1,0,0,0
277,45,0,2734,7.75,0,0,1,0
278,24,0,1827,0.0,0,1,0,1
279,7,5,4647,29.125,0,0,1,1
280,35,2,8331,20.25,1,0,1,0
281,65,0,9630,7.75,0,0,1,1
282,28,0,6584,7.8542,0,0,1,1
283,16,0,4870,9.5,0,0,1,1
284,19,0,2068,8.05,1,0,1,1
285,24,0,3118,26.0,0,0,0,1
286,33,0,4065,8.6625,0,0,1,1
287,30,0,7245,9.5,1,0,1,1
288,22,0,4995,7.8958,0,0,1,1
289,42,0,2083,13.0,1,1,0,1
290,22,0,6707,7.75,1,0,1,0
291,26,0,4619,78.85,1,0,0,0
292,19,1,1756,91.0792,1,0,0,0
293,36,0,7901,12.875,0,1,0,1
294,24,0,8142,8.85,0,0,1,0
295,24,0,7022,7.8958,0,0,1,1
296,24,0,4046,27.7208,0,0,0,1
297,23,0,7109,7.2292,0,0,1,1
299,24,0,6294,30.5,1,0,0,1
301,24,0,5800,7.75,1,0,1,0
302,24,2,8421,23.25,1,0,1,1
303,19,0,1916,0.0,0,0,1,1
304,24,0,8480,12.35,1,1,0,0
305,24,0,6924,8.05,0,0,1,1
309,30,1,9943,24.0,0,1,0,1
310,30,0,7709,56.9292,1,0,0,0
311,24,0,2544,83.1583,1,0,0,0
313,26,2,9589,26.0,0,1,0,0
314,28,0,5782,7.8958,0,0,1,1
315,43,2,2112,26.25,0,1,0,1
316,26,0,7643,7.8542,1,0,1,0
317,24,1,5453,26.0,1,1,0,0
318,54,0,5214,14.0,0,1,0,1
321,22,0,5432,7.25,0,0,1,1
322,27,0,4381,7.8958,0,0,1,1
323,30,0,7831,12.35,1,1,0,0
324,22,2,3972,29.0,1,1,0,0
325,24,10,7052,69.55,0,0,1,1
327,61,0,7322,6.2375,0,0,1,1
328,36,0,7555,13.0,1,1,0,0
329,31,2,2157,20.525,1,0,1,0
330,16,1,6478,57.9792,1,0,0,0
331,24,2,7610,23.25,1,0,1,0
332,45,0,2634,28.5,0,0,0,1
334,16,2,4460,18.0,0,0,1,1
336,24,0,1776,7.8958,0,0,1,1
337,29,1,2639,66.6,0,0,0,1
339,45,0,5650,8.05,1,0,1,1
340,45,0,7656,35.5,0,0,0,1
341,2,2,2640,26.0,1,1,0,1
343,28,0,3699,13.0,0,1,0,1
344,25,0,4017,13.0,0,1,0,1
345,36,0,8186,13.0,0,1,0,1
346,24,0,9582,13.0,1,1,0,0
347,40,0,4306,13.0,1,1,0,0
348,24,1,3962,16.1,1,0,1,0
349,3,2,8723,15.9,1,0,1,1
350,42,0,7482,8.6625,0,0,1,1
351,23,0,1846,9.225,0,0,1,1
352,24,0,2761,35.0,0,0,0,1
353,15,2,9234,7.2292,0,0,1,1
354,25,1,4052,17.8,0,0,1,1
355,24,0,6340,7.225,0,0,1,1
356,28,0,9739,9.5,0,0,1,1
357,22,1,3109,55.0,1,0,0,0
358,38,0,8876,13.0,0,1,0,0
359,24,0,5351,7.8792,1,0,1,0
360,24,0,9667,7.8792,1,0,1,0
361,40,5,1789,27.9,0,0,1,1
362,29,1,2966,27.7208,0,1,0,1
363,45,1,5940,14.4542,0,0,1,0
364,35,0,6062,7.05,0,0,1,1
365,24,1,9345,15.5,0,0,1,1
366,30,0,5979,7.25,0,0,1,1
367,60,1,7663,75.25,1,0,0,0
368,24,0,6045,7.2292,1,0,1,0
369,24,0,3798,7.75,1,0,1,0
370,24,0,5304,69.3,1,0,0,0
371,25,1,2631,55.4417,1,0,0,1
372,18,1,4304,6.4958,0,0,1,1
373,19,0,6751,8.05,0,0,1,1
375,3,4,4539,21.075,0,0,1,0
376,24,1,9470,82.1708,1,0,0,0
377,22,0,5426,7.25,1,0,1,0
379,20,0,2188,4.0125,0,0,1,1
380,19,0,2436,7.775,0,0,1,1
382,1,2,1616,15.7417,1,0,1,0
383,32,0,7019,7.925,0,0,1,1
384,35,1,5548,52.0,1,0,0,0
385,24,0,5477,7.8958,0,0,1,1
386,18,0,3877,73.5,0,1,0,1
387,1,7,1284,46.9,0,0,1,1
388,36,0,9518,13.0,1,1,0,0
389,24,0,6568,7.7292,0,0,1,1
390,17,0,8761,12.0,1,1,0,0
392,21,0,2445,7.7958,1,0,1,1
393,28,2,5060,7.925,0,0,1,1
395,24,2,7446,16.7,1,0,1,0
396,22,0,2658,7.7958,0,0,1,1
397,31,0,8803,7.8542,0,0,1,0
398,46,0,5741,26.0,0,1,0,1
399,23,0,2861,10.5,0,1,0,1
400,28,0,2155,12.65,1,1,0,0
401,39,0,8570,7.925,1,0,1,1
402,26,0,6621,8.05,0,0,1,1
403,21,1,8231,9.825,0,0,1,0
404,28,1,9456,15.85,0,0,1,1
405,20,0,2600,8.6625,0,0,1,0
406,34,1,1590,21.0,0,1,0,1
407,51,0,6445,7.75,0,0,1,1
408,3,2,8770,18.75,1,1,0,1
409,21,0,7784,7.775,0,0,1,1
410,24,4,6516,25.4667,0,0,1,0
411,24,0,6523,7.8958,0,0,1,1
412,24,0,7991,6.8583,0,0,1,1
413,33,1,1654,90.0,1,0,0,0
414,24,0,4273,0.0,0,1,0,1
415,44,0,6724,7.925,1,0,1,1
416,24,0,2006,8.05,0,0,1,0
417,34,2,4983,32.5,1,1,0,0
418,18,2,6609,13.0,1,1,0,0
419,30,0,6028,13.0,0,1,0,1
420,10,2,1471,24.15,0,0,1,0
421,24,0,8700,7.8958,0,0,1,1
422,21,0,9008,7.7333,0,0,1,1
423,29,0,8512,7.875,0,0,1,1
424,28,2,4384,14.4,0,0,1,0
425,18,2,2535,20.2125,0,0,1,1
426,24,0,9007,7.25,0,0,1,1
427,28,1,2244,26.0,1,1,0,0
428,19,0,4515,26.0,1,1,0,0
429,24,0,5462,7.75,0,0,1,1
430,32,0,4078,8.05,1,0,1,1
431,28,0,3105,26.55,1,0,0,1
432,24,1,6878,16.1,1,0,1,0
433,42,1,5160,26.0,1,1,0,0
434,17,0,4369,7.125,0,0,1,1
435,50,1,4683,55.9,0,0,0,1
437,21,4,7372,34.375,0,0,1,0
438,24,5,8818,18.75,1,1,0,0
440,31,0,7424,10.5,0,1,0,1
441,45,2,2271,26.25,1,1,0,0
442,20,0,3019,9.5,0,0,1,1
443,25,1,4500,7.775,0,0,1,1
444,28,0,6326,13.0,1,1,0,0
445,24,0,1600,8.1125,1,0,1,1
446,4,2,5512,81.8583,1,0,0,1
447,13,1,5634,19.5,1,1,0,0
448,34,0,4374,26.55,1,0,0,1
449,5,3,3081,19.2583,1,0,1,0
450,52,0,5860,30.5,1,0,0,1
451,36,3,7812,27.75,0,1,0,1
452,24,1,4657,19.9667,0,0,1,1
453,30,0,4568,27.75,0,0,0,1
454,49,1,8756,89.1042,1,0,0,1
455,24,0,8265,8.05,0,0,1,1
456,29,0,5150,7.8958,1,0,1,1
457,65,0,9422,26.55,0,0,0,1
458,24,1,6330,51.8625,1,0,0,0
459,50,0,8699,10.5,1,1,0,0
460,24,0,8180,7.75,0,0,1,1
461,48,0,7852,26.55,1,0,0,1
462,34,0,1068,8.05,0,0,1,1
463,47,0,2402,38.5,0,0,0,1
464,48,0,3347,13.0,0,1,0,1
465,24,0,5576,8.05,0,0,1,1
466,38,0,8257,7.05,0,0,1,1
467,24,0,4157,0.0,0,1,0,1
468,56,0,4576,26.55,0,0,0,1
469,24,0,3516,7.725,0,0,1,1
470,0,3,1296,19.2583,1,0,1,0
471,24,0,4812,7.25,0,0,1,1
472,38,0,8687,8.6625,0,0,1,1
473,33,3,9724,27.75,1,1,0,0
474,23,0,5409,13.7917,1,1,0,0
475,22,0,3362,9.8375,0,0,1,0
476,24,0,8301,52.0,0,0,0,1
477,34,1,1623,21.0,0,1,0,1
478,29,1,7249,7.0458,0,0,1,1
479,22,0,9789,7.5208,0,0,1,1
480,2,1,8046,12.2875,1,0,1,0
481,9,7,3619,46.9,0,0,1,1
482,24,0,4848,0.0,0,1,0,1
483,50,0,1914,8.05,0,0,1,1
484,63,0,6499,9.5875,1,0,1,0
485,25,1,4472,91.0792,1,0,0,1
486,24,4,7935,25.4667,0,0,1,0
487,35,1,6549,90.0,1,0,0,0
488,58,0,4857,29.7,0,0,0,1
489,30,0,4081,8.05,0,0,1,1
490,9,2,7865,15.9,1,0,1,1
491,24,1,1477,19.9667,0,0,1,1
492,21,0,4381,7.25,0,0,1,1
493,55,0,5674,30.5,0,0,0,1
494,71,0,4824,49.5042,0,0,0,1
495,21,0,6439,8.05,0,0,1,1
496,24,0,4169,14.4583,0,0,1,1
497,54,1,2873,78.2667,1,0,0,0
498,24,0,5326,15.1,0,0,1,1
500,24,0,6991,7.7958,0,0,1,1
501,17,0,5075,8.6625,0,0,1,1
502,21,0,6270,7.75,0,0,1,0
503,24,0,9181,7.6292,0,0,1,0
504,37,0,7096,9.5875,0,0,1,0
505,16,0,4620,86.5,1,0,0,0
507,33,2,2861,26.0,1,1,0,0
508,24,0,5143,26.55,1,0,0,1
509,28,0,7191,22.525,0,0,1,1
510,26,0,9469,56.4958,1,0,1,1
511,29,0,2640,7.75,1,0,1,1
512,24,0,9789,8.05,0,0,1,1
513,36,0,6222,26.2875,1,0,0,1
514,54,1,6488,59.4,1,0,0,0
515,24,0,2970,7.4958,0,0,1,1
516,47,0,8826,34.0208,0,0,0,1
517,34,0,2579,10.5,1,1,0,0
518,24,0,6519,24.15,0,0,1,1
519,36,1,4424,26.0,1,1,0,0
520,32,0,2852,7.8958,0,0,1,1
521,30,0,2455,93.5,1,0,0,0
522,22,0,9908,7.8958,0,0,1,1
523,24,0,2360,7.225,0,0,1,1
524,44,1,5568,57.9792,1,0,0,0
525,24,0,5959,7.2292,0,0,1,1
526,40,0,1856,7.75,0,0,1,1
527,50,0,5721,10.5,1,1,0,0
529,39,0,2263,7.925,0,0,1,1
530,23,3,2714,11.5,0,1,0,1
531,2,2,1072,26.0,1,1,0,0
532,24,0,9008,7.2292,0,0,1,1
533,17,2,3139,7.2292,0,0,1,1
534,24,2,6207,22.3583,1,0,1,0
535,30,0,1037,8.6625,0,0,1,0
536,7,2,1547,26.25,1,1,0,0
537,45,0,8195,26.55,0,0,0,1
539,24,0,1082,14.5,0,0,1,1
540,22,2,6988,49.5,1,0,0,0
541,36,2,7170,71.0,1,0,0,0
542,9,6,9300,31.275,0,0,1,0
543,11,6,9338,31.275,0,0,1,0
544,32,1,9124,26.0,1,1,0,1
546,64,0,9071,26.0,0,0,0,1
547,19,1,7377,26.0,1,1,0,0
548,24,0,2874,13.8625,1,1,0,1
549,33,2,7077,20.525,0,0,1,1
550,8,2,1276,36.75,1,1,0,1
552,27,0,4321,26.0,0,1,0,1
553,24,0,1931,7.8292,0,0,1,1
554,22,0,1146,7.225,1,0,1,1
555,22,0,5953,7.775,1,0,1,0
556,62,0,1828,26.55,0,0,0,1
557,48,1,1268,39.6,1,0,0,0
559,39,2,3437,79.65,1,0,0,0
560,36,1,8647,17.4,1,0,1,0
561,24,0,5964,7.75,0,0,1,1
562,40,0,4112,7.8958,0,0,1,1
563,28,0,2660,13.5,0,1,0,1
564,24,0,4758,8.05,0,0,1,1
565,24,0,4155,8.05,0,0,1,0
566,24,2,6271,24.15,0,0,1,1
567,19,0,9220,7.8958,0,0,1,1
568,29,4,7739,21.075,0,0,1,0
569,24,0,8843,7.2292,0,0,1,1
570,32,0,9295,7.8542,1,0,1,1
571,62,0,6289,10.5,1,1,0,1
572,53,2,7975,51.4792,1,0,0,0
573,36,0,9046,26.3875,1,0,0,1
574,24,0,2916,7.75,1,0,1,0
575,16,0,9649,8.05,0,0,1,1
576,19,0,4380,14.5,0,0,1,1
577,34,0,7138,13.0,1,1,0,0
578,39,1,1256,55.9,1,0,0,0
579,24,1,6070,14.4583,0,0,1,0
580,32,0,5586,7.925,1,0,1,1
581,25,2,8904,30.0,1,1,0,0
583,54,0,2321,26.0,0,1,0,1
584,36,0,4522,40.125,0,0,0,1
585,24,0,6157,8.7125,0,0,1,1
586,18,2,8760,79.65,1,0,0,0
587,47,0,6990,15.0,0,1,0,1
588,60,2,9031,79.2,1,0,0,1
589,22,0,7598,8.05,0,0,1,1
590,24,0,8342,8.05,0,0,1,1
591,35,0,7388,7.125,0,0,1,1
592,52,1,7849,78.2667,1,0,0,0
593,47,0,2971,7.25,0,0,1,1
594,24,2,7915,7.75,0,0,1,0
595,37,1,3394,26.0,0,1,0,1
596,36,2,6006,24.15,0,0,1,1
597,24,0,9365,33.0,1,1,0,0
598,49,0,5168,0.0,0,0,1,1
599,24,0,2326,7.225,0,0,1,1
600,49,1,1566,56.9292,1,0,0,1
601,24,3,7739,27.0,1,1,0,0
602,24,0,1505,7.8958,0,0,1,1
603,24,0,7481,42.4,0,0,0,1
604,44,0,5850,8.05,0,0,1,1
605,35,0,4239,26.55,1,0,0,1
606,36,1,2708,15.55,0,0,1,1
607,30,0,5843,7.8958,0,0,1,1
608,27,0,3713,30.5,1,0,0,1
609,22,3,6069,41.5792,1,1,0,0
611,39,6,4375,31.275,0,0,1,0
612,24,0,7051,7.05,0,0,1,1
613,24,1,1282,15.5,1,0,1,0
614,24,0,9564,7.75,0,0,1,1
615,35,0,5246,8.05,0,0,1,1
616,24,3,3762,65.0,1,1,0,0
617,34,2,2152,14.4,0,0,1,1
618,26,1,7183,16.1,0,0,1,0
619,4,3,5590,39.0,1,1,0,0
620,26,0,2473,10.5,0,1,0,1
621,27,1,8431,14.4542,0,0,1,1
622,42,1,2872,52.5542,1,0,0,1
623,20,2,8159,15.7417,1,0,1,1
624,21,0,8650,7.8542,0,0,1,1
625,21,0,3582,16.1,0,0,1,1
626,61,0,7955,32.3208,0,0,0,1
627,57,0,8461,12.35,0,1,0,1
628,21,0,2870,77.9583,1,0,0,0
629,26,0,9173,7.8958,0,0,1,1
630,24,0,4739,7.7333,0,0,1,1
631,80,0,1740,30.0,1,0,0,1
632,51,0,1021,7.0542,0,0,1,1
633,32,0,1696,30.5,1,0,0,1
634,24,0,3536,0.0,0,0,0,1
635,9,5,7923,27.9,0,0,1,0
636,28,0,3423,13.0,1,1,0,0
637,32,0,1514,7.925,0,0,1,1
638,31,2,8044,26.25,0,1,0,1
639,41,5,5044,39.6875,0,0,1,0
640,24,1,9513,16.1,0,0,1,1
641,20,0,4223,7.8542,0,0,1,1
642,24,0,6312,69.3,1,0,0,0
643,2,5,8045,27.9,0,0,1,0
644,24,0,2831,56.4958,1,0,1,1
645,0,3,2289,19.2583,1,0,1,0
646,48,1,3062,76.7292,1,0,0,1
647,19,0,5193,7.8958,0,0,1,1
648,56,0,2593,35.5,1,0,0,1
649,24,0,4909,7.55,0,0,1,1
650,23,0,5898,7.55,1,0,1,0
651,24,0,7072,7.8958,0,0,1,1
652,18,1,5971,23.0,1,1,0,0
653,21,0,4031,8.4333,0,0,1,1
654,24,0,4827,7.8292,1,0,1,0
655,18,0,2377,6.75,0,0,1,0
656,24,2,9483,73.5,0,1,0,1
657,24,0,5986,7.8958,0,0,1,1
658,32,2,5677,15.5,0,0,1,0
659,23,0,3274,13.0,0,1,0,1
662,40,0,6512,7.225,0,0,1,1
663,47,0,5616,25.5875,0,0,0,1
664,36,0,4096,7.4958,0,0,1,1
665,20,1,8478,7.925,1,0,1,1
666,32,2,2944,73.5,0,1,0,1
667,25,0,5071,13.0,0,1,0,1
668,24,0,4235,7.775,0,0,1,1
669,43,0,1144,8.05,0,0,1,1
670,24,1,9697,52.0,1,0,0,0
671,40,2,5748,39.0,1,1,0,0
672,31,1,4071,52.0,0,0,0,1
673,70,0,5646,10.5,0,1,0,1
674,31,0,5004,13.0,1,1,0,1
675,24,0,7188,0.0,0,1,0,1
676,18,0,8342,7.775,0,0,1,1
677,24,0,6755,8.05,0,0,1,1
678,18,0,7632,9.8417,1,0,1,0
679,43,7,1050,46.9,0,0,1,0
681,24,0,4349,8.1375,0,0,1,0
682,27,0,9123,76.7292,1,0,0,1
683,20,0,1046,9.225,0,0,1,1
684,14,7,8273,46.9,0,0,1,1
685,60,2,1744,39.0,0,1,0,1
686,25,3,6874,41.5792,0,1,0,1
687,14,5,8398,39.6875,0,0,1,1
688,19,0,8236,10.1708,0,0,1,1
689,18,0,5730,7.7958,0,0,1,1
691,31,1,4036,57.0,1,0,0,1
692,4,1,8015,13.4167,1,0,1,0
693,24,0,9325,56.4958,1,0,1,1
694,25,0,2232,7.225,0,0,1,1
