HuZom_Id,Human,Zone,Sex,Age,Num_Fam,Ammo,Bounty
249,1,1,male,37,2,1957,52.5542
250,0,2,male,54,1,3442,26.0
251,0,3,male,24,0,6184,7.25
252,0,3,female,29,2,9094,10.4625
253,0,1,male,62,0,7727,26.55
254,0,3,male,30,1,8778,16.1
255,0,3,female,41,2,9866,20.2125
256,1,3,female,29,2,7397,15.2458
257,1,1,female,24,0,2516,79.2
258,1,1,female,30,0,7048,86.5
259,1,1,female,35,0,6026,512.3292
260,1,2,female,50,1,2253,26.0
261,0,3,male,24,0,4843,7.75
262,1,3,male,3,6,8516,31.3875
263,0,1,male,52,2,4469,79.65
264,0,1,male,40,0,4039,0.0
265,0,3,female,24,0,6946,7.75
266,0,2,male,36,0,2082,10.5
267,0,3,male,16,5,9237,39.6875
268,1,3,male,25,1,2775,7.775
269,1,1,female,58,1,8824,153.4625
270,1,1,female,35,0,9975,135.6333
271,0,1,male,24,0,3452,31.0
272,1,3,male,25,0,8966,0.0
273,1,2,female,41,1,1610,19.5
274,0,1,male,37,1,5100,29.7
275,1,3,female,24,0,6946,7.75
276,1,1,female,63,1,2339,77.9583
277,0,3,female,45,0,2734,7.75
278,0,2,male,24,0,1827,0.0
279,0,3,male,7,5,4647,29.125
280,1,3,female,35,2,8331,20.25
281,0,3,male,65,0,9630,7.75
282,0,3,male,28,0,6584,7.8542
283,0,3,male,16,0,4870,9.5
284,1,3,male,19,0,2068,8.05
285,0,1,male,24,0,3118,26.0
286,0,3,male,33,0,4065,8.6625
287,1,3,male,30,0,7245,9.5
288,0,3,male,22,0,4995,7.8958
289,1,2,male,42,0,2083,13.0
290,1,3,female,22,0,6707,7.75
291,1,1,female,26,0,4619,78.85
292,1,1,female,19,1,1756,91.0792
293,0,2,male,36,0,7901,12.875
294,0,3,female,24,0,8142,8.85
295,0,3,male,24,0,7022,7.8958
296,0,1,male,24,0,4046,27.7208
297,0,3,male,23,0,7109,7.2292
298,0,1,female,2,3,7177,151.55
299,1,1,male,24,0,6294,30.5
300,1,1,female,50,1,9156,247.5208
301,1,3,female,24,0,5800,7.75
302,1,3,male,24,2,8421,23.25
303,0,3,male,19,0,1916,0.0
304,1,2,female,24,0,8480,12.35
305,0,3,male,24,0,6924,8.05
306,1,1,male,0,3,2852,151.55
307,1,1,female,24,0,4977,110.8833
308,1,1,female,17,1,2899,108.9
309,0,2,male,30,1,9943,24.0
310,1,1,female,30,0,7709,56.9292
311,1,1,female,24,0,2544,83.1583
312,1,1,female,18,4,8402,262.375
313,0,2,female,26,2,9589,26.0
314,0,3,male,28,0,5782,7.8958
315,0,2,male,43,2,2112,26.25
316,1,3,female,26,0,7643,7.8542
317,1,2,female,24,1,5453,26.0
318,0,2,male,54,0,5214,14.0
319,1,1,female,31,2,6906,164.8667
320,1,1,female,40,2,1181,134.5
321,0,3,male,22,0,5432,7.25
322,0,3,male,27,0,4381,7.8958
323,1,2,female,30,0,7831,12.35
324,1,2,female,22,2,3972,29.0
325,0,3,male,24,10,7052,69.55
326,1,1,female,36,0,5434,135.6333
327,0,3,male,61,0,7322,6.2375
328,1,2,female,36,0,7555,13.0
329,1,3,female,31,2,2157,20.525
330,1,1,female,16,1,6478,57.9792
331,1,3,female,24,2,7610,23.25
332,0,1,male,45,0,2634,28.5
333,0,1,male,38,1,3650,153.4625
334,0,3,male,16,2,4460,18.0
335,1,1,female,24,1,2021,133.65
336,0,3,male,24,0,1776,7.8958
337,0,1,male,29,1,2639,66.6
338,1,1,female,41,0,7549,134.5
339,1,3,male,45,0,5650,8.05
340,0,1,male,45,0,7656,35.5
341,1,2,male,2,2,2640,26.0
342,1,1,female,24,5,7650,263.0
343,0,2,male,28,0,3699,13.0
344,0,2,male,25,0,4017,13.0
345,0,2,male,36,0,8186,13.0
346,1,2,female,24,0,9582,13.0
347,1,2,female,40,0,4306,13.0
348,1,3,female,24,1,3962,16.1
349,1,3,male,3,2,8723,15.9
350,0,3,male,42,0,7482,8.6625
351,0,3,male,23,0,1846,9.225
352,0,1,male,24,0,2761,35.0
353,0,3,male,15,2,9234,7.2292
354,0,3,male,25,1,4052,17.8
355,0,3,male,24,0,6340,7.225
356,0,3,male,28,0,9739,9.5
357,1,1,female,22,1,3109,55.0
358,0,2,female,38,0,8876,13.0
359,1,3,female,24,0,5351,7.8792
360,1,3,female,24,0,9667,7.8792
361,0,3,male,40,5,1789,27.9
362,0,2,male,29,1,2966,27.7208
363,0,3,female,45,1,5940,14.4542
364,0,3,male,35,0,6062,7.05
365,0,3,male,24,1,9345,15.5
366,0,3,male,30,0,5979,7.25
367,1,1,female,60,1,7663,75.25
368,1,3,female,24,0,6045,7.2292
369,1,3,female,24,0,3798,7.75
370,1,1,female,24,0,5304,69.3
371,1,1,male,25,1,2631,55.4417
372,0,3,male,18,1,4304,6.4958
373,0,3,male,19,0,6751,8.05
374,0,1,male,22,0,5273,135.6333
375,0,3,female,3,4,4539,21.075
376,1,1,female,24,1,9470,82.1708
377,1,3,female,22,0,5426,7.25
378,0,1,male,27,2,4327,211.5
379,0,3,male,20,0,2188,4.0125
380,0,3,male,19,0,2436,7.775
381,1,1,female,42,0,3802,227.525
382,1,3,female,1,2,1616,15.7417
383,0,3,male,32,0,7019,7.925
384,1,1,female,35,1,5548,52.0
385,0,3,male,24,0,5477,7.8958
386,0,2,male,18,0,3877,73.5
387,0,3,male,1,7,1284,46.9
388,1,2,female,36,0,9518,13.0
389,0,3,male,24,0,6568,7.7292
390,1,2,female,17,0,8761,12.0
391,1,1,male,36,3,4407,120.0
392,1,3,male,21,0,2445,7.7958
393,0,3,male,28,2,5060,7.925
394,1,1,female,23,1,7933,113.275
395,1,3,female,24,2,7446,16.7
396,0,3,male,22,0,2658,7.7958
397,0,3,female,31,0,8803,7.8542
398,0,2,male,46,0,5741,26.0
399,0,2,male,23,0,2861,10.5
400,1,2,female,28,0,2155,12.65
401,1,3,male,39,0,8570,7.925
402,0,3,male,26,0,6621,8.05
403,0,3,female,21,1,8231,9.825
404,0,3,male,28,1,9456,15.85
405,0,3,female,20,0,2600,8.6625
406,0,2,male,34,1,1590,21.0
407,0,3,male,51,0,6445,7.75
408,1,2,male,3,2,8770,18.75
409,0,3,male,21,0,7784,7.775
410,0,3,female,24,4,6516,25.4667
411,0,3,male,24,0,6523,7.8958
412,0,3,male,24,0,7991,6.8583
413,1,1,female,33,1,1654,90.0
414,0,2,male,24,0,4273,0.0
415,1,3,male,44,0,6724,7.925
416,0,3,female,24,0,2006,8.05
417,1,2,female,34,2,4983,32.5
418,1,2,female,18,2,6609,13.0
419,0,2,male,30,0,6028,13.0
420,0,3,female,10,2,1471,24.15
421,0,3,male,24,0,8700,7.8958
422,0,3,male,21,0,9008,7.7333
423,0,3,male,29,0,8512,7.875
424,0,3,female,28,2,4384,14.4
425,0,3,male,18,2,2535,20.2125
426,0,3,male,24,0,9007,7.25
427,1,2,female,28,1,2244,26.0
428,1,2,female,19,0,4515,26.0
429,0,3,male,24,0,5462,7.75
430,1,3,male,32,0,4078,8.05
431,1,1,male,28,0,3105,26.55
432,1,3,female,24,1,6878,16.1
433,1,2,female,42,1,5160,26.0
434,0,3,male,17,0,4369,7.125
435,0,1,male,50,1,4683,55.9
436,1,1,female,14,3,8560,120.0
437,0,3,female,21,4,7372,34.375
438,1,2,female,24,5,8818,18.75
439,0,1,male,64,5,8232,263.0
440,0,2,male,31,0,7424,10.5
441,1,2,female,45,2,2271,26.25
442,0,3,male,20,0,3019,9.5
443,0,3,male,25,1,4500,7.775
444,1,2,female,28,0,6326,13.0
445,1,3,male,24,0,1600,8.1125
446,1,1,male,4,2,5512,81.8583
447,1,2,female,13,1,5634,19.5
448,1,1,male,34,0,4374,26.55
449,1,3,female,5,3,3081,19.2583
450,1,1,male,52,0,5860,30.5
451,0,2,male,36,3,7812,27.75
452,0,3,male,24,1,4657,19.9667
453,0,1,male,30,0,4568,27.75
454,1,1,male,49,1,8756,89.1042
455,0,3,male,24,0,8265,8.05
456,1,3,male,29,0,5150,7.8958
457,0,1,male,65,0,9422,26.55
458,1,1,female,24,1,6330,51.8625
459,1,2,female,50,0,8699,10.5
460,0,3,male,24,0,8180,7.75
461,1,1,male,48,0,7852,26.55
462,0,3,male,34,0,1068,8.05
463,0,1,male,47,0,2402,38.5
464,0,2,male,48,0,3347,13.0
465,0,3,male,24,0,5576,8.05
466,0,3,male,38,0,8257,7.05
467,0,2,male,24,0,4157,0.0
468,0,1,male,56,0,4576,26.55
469,0,3,male,24,0,3516,7.725
470,1,3,female,0,3,1296,19.2583
471,0,3,male,24,0,4812,7.25
472,0,3,male,38,0,8687,8.6625
473,1,2,female,33,3,9724,27.75
474,1,2,female,23,0,5409,13.7917
475,0,3,female,22,0,3362,9.8375
476,0,1,male,24,0,8301,52.0
477,0,2,male,34,1,1623,21.0
478,0,3,male,29,1,7249,7.0458
479,0,3,male,22,0,9789,7.5208
480,1,3,female,2,1,8046,12.2875
481,0,3,male,9,7,3619,46.9
482,0,2,male,24,0,4848,0.0
483,0,3,male,50,0,1914,8.05
484,1,3,female,63,0,6499,9.5875
485,1,1,male,25,1,4472,91.0792
486,0,3,female,24,4,7935,25.4667
487,1,1,female,35,1,6549,90.0
488,0,1,male,58,0,4857,29.7
489,0,3,male,30,0,4081,8.05
490,1,3,male,9,2,7865,15.9
491,0,3,male,24,1,1477,19.9667
492,0,3,male,21,0,4381,7.25
493,0,1,male,55,0,5674,30.5
494,0,1,male,71,0,4824,49.5042
495,0,3,male,21,0,6439,8.05
496,0,3,male,24,0,4169,14.4583
497,1,1,female,54,1,2873,78.2667
498,0,3,male,24,0,5326,15.1
499,0,1,female,25,3,3721,151.55
500,0,3,male,24,0,6991,7.7958
501,0,3,male,17,0,5075,8.6625
502,0,3,female,21,0,6270,7.75
503,0,3,female,24,0,9181,7.6292
504,0,3,female,37,0,7096,9.5875
505,1,1,female,16,0,4620,86.5
506,0,1,male,18,1,9802,108.9
507,1,2,female,33,2,2861,26.0
508,1,1,male,24,0,5143,26.55
509,0,3,male,28,0,7191,22.525
510,1,3,male,26,0,9469,56.4958
511,1,3,male,29,0,2640,7.75
512,0,3,male,24,0,9789,8.05
513,1,1,male,36,0,6222,26.2875
514,1,1,female,54,1,6488,59.4
515,0,3,male,24,0,2970,7.4958
516,0,1,male,47,0,8826,34.0208
517,1,2,female,34,0,2579,10.5
518,0,3,male,24,0,6519,24.15
519,1,2,female,36,1,4424,26.0
520,0,3,male,32,0,2852,7.8958
521,1,1,female,30,0,2455,93.5
522,0,3,male,22,0,9908,7.8958
523,0,3,male,24,0,2360,7.225
524,1,1,female,44,1,5568,57.9792
525,0,3,male,24,0,5959,7.2292
526,0,3,male,40,0,1856,7.75
527,1,2,female,50,0,5721,10.5
528,0,1,male,24,0,2392,221.7792
529,0,3,male,39,0,2263,7.925
530,0,2,male,23,3,2714,11.5
531,1,2,female,2,2,1072,26.0
532,0,3,male,24,0,9008,7.2292
533,0,3,male,17,2,3139,7.2292
534,1,3,female,24,2,6207,22.3583
535,0,3,female,30,0,1037,8.6625
536,1,2,female,7,2,1547,26.25
537,0,1,male,45,0,8195,26.55
538,1,1,female,30,0,5266,106.425
539,0,3,male,24,0,1082,14.5
540,1,1,female,22,2,6988,49.5
541,1,1,female,36,2,7170,71.0
542,0,3,female,9,6,9300,31.275
543,0,3,female,11,6,9338,31.275
544,1,2,male,32,1,9124,26.0
545,0,1,male,50,1,7860,106.425
546,0,1,male,64,0,9071,26.0
547,1,2,female,19,1,7377,26.0
548,1,2,male,24,0,2874,13.8625
549,0,3,male,33,2,7077,20.525
550,1,2,male,8,2,1276,36.75
551,1,1,male,17,2,1260,110.8833
552,0,2,male,27,0,4321,26.0
553,0,3,male,24,0,1931,7.8292
554,1,3,male,22,0,1146,7.225
555,1,3,female,22,0,5953,7.775
556,0,1,male,62,0,1828,26.55
557,1,1,female,48,1,1268,39.6
558,0,1,male,24,0,5198,227.525
559,1,1,female,39,2,3437,79.65
560,1,3,female,36,1,8647,17.4
561,0,3,male,24,0,5964,7.75
562,0,3,male,40,0,4112,7.8958
563,0,2,male,28,0,2660,13.5
564,0,3,male,24,0,4758,8.05
565,0,3,female,24,0,4155,8.05
566,0,3,male,24,2,6271,24.15
567,0,3,male,19,0,9220,7.8958
568,0,3,female,29,4,7739,21.075
569,0,3,male,24,0,8843,7.2292
570,1,3,male,32,0,9295,7.8542
571,1,2,male,62,0,6289,10.5
572,1,1,female,53,2,7975,51.4792
573,1,1,male,36,0,9046,26.3875
574,1,3,female,24,0,2916,7.75
575,0,3,male,16,0,9649,8.05
576,0,3,male,19,0,4380,14.5
577,1,2,female,34,0,7138,13.0
578,1,1,female,39,1,1256,55.9
579,0,3,female,24,1,6070,14.4583
580,1,3,male,32,0,5586,7.925
581,1,2,female,25,2,8904,30.0
582,1,1,female,39,2,9259,110.8833
583,0,2,male,54,0,2321,26.0
584,0,1,male,36,0,4522,40.125
585,0,3,male,24,0,6157,8.7125
586,1,1,female,18,2,8760,79.65
587,0,2,male,47,0,6990,15.0
588,1,1,male,60,2,9031,79.2
589,0,3,male,22,0,7598,8.05
590,0,3,male,24,0,8342,8.05
591,0,3,male,35,0,7388,7.125
592,1,1,female,52,1,7849,78.2667
593,0,3,male,47,0,2971,7.25
594,0,3,female,24,2,7915,7.75
595,0,2,male,37,1,3394,26.0
596,0,3,male,36,2,6006,24.15
597,1,2,female,24,0,9365,33.0
598,0,3,male,49,0,5168,0.0
599,0,3,male,24,0,2326,7.225
600,1,1,male,49,1,1566,56.9292
601,1,2,female,24,3,7739,27.0
602,0,3,male,24,0,1505,7.8958
603,0,1,male,24,0,7481,42.4
604,0,3,male,44,0,5850,8.05
605,1,1,male,35,0,4239,26.55
606,0,3,male,36,1,2708,15.55
607,0,3,male,30,0,5843,7.8958
608,1,1,male,27,0,3713,30.5
609,1,2,female,22,3,6069,41.5792
610,1,1,female,40,0,9278,153.4625
611,0,3,female,39,6,4375,31.275
612,0,3,male,24,0,7051,7.05
613,1,3,female,24,1,1282,15.5
614,0,3,male,24,0,9564,7.75
615,0,3,male,35,0,5246,8.05
616,1,2,female,24,3,3762,65.0
617,0,3,male,34,2,2152,14.4
618,0,3,female,26,1,7183,16.1
619,1,2,female,4,3,5590,39.0
620,0,2,male,26,0,2473,10.5
621,0,3,male,27,1,8431,14.4542
622,1,1,male,42,1,2872,52.5542
623,1,3,male,20,2,8159,15.7417
624,0,3,male,21,0,8650,7.8542
625,0,3,male,21,0,3582,16.1
626,0,1,male,61,0,7955,32.3208
627,0,2,male,57,0,8461,12.35
628,1,1,female,21,0,2870,77.9583
629,0,3,male,26,0,9173,7.8958
630,0,3,male,24,0,4739,7.7333
631,1,1,male,80,0,1740,30.0
632,0,3,male,51,0,1021,7.0542
633,1,1,male,32,0,1696,30.5
634,0,1,male,24,0,3536,0.0
635,0,3,female,9,5,7923,27.9
636,1,2,female,28,0,3423,13.0
637,0,3,male,32,0,1514,7.925
638,0,2,male,31,2,8044,26.25
639,0,3,female,41,5,5044,39.6875
640,0,3,male,24,1,9513,16.1
641,0,3,male,20,0,4223,7.8542
642,1,1,female,24,0,6312,69.3
643,0,3,female,2,5,8045,27.9
644,1,3,male,24,0,2831,56.4958
645,1,3,female,0,3,2289,19.2583
646,1,1,male,48,1,3062,76.7292
647,0,3,male,19,0,5193,7.8958
648,1,1,male,56,0,2593,35.5
649,0,3,male,24,0,4909,7.55
650,1,3,female,23,0,5898,7.55
651,0,3,male,24,0,7072,7.8958
652,1,2,female,18,1,5971,23.0
653,0,3,male,21,0,4031,8.4333
654,1,3,female,24,0,4827,7.8292
655,0,3,female,18,0,2377,6.75
656,0,2,male,24,2,9483,73.5
657,0,3,male,24,0,5986,7.8958
658,0,3,female,32,2,5677,15.5
659,0,2,male,23,0,3274,13.0
660,0,1,male,58,2,7968,113.275
661,1,1,male,50,2,8838,133.65
662,0,3,male,40,0,6512,7.225
663,0,1,male,47,0,5616,25.5875
664,0,3,male,36,0,4096,7.4958
665,1,3,male,20,1,8478,7.925
666,0,2,male,32,2,2944,73.5
667,0,2,male,25,0,5071,13.0
668,0,3,male,24,0,4235,7.775
669,0,3,male,43,0,1144,8.05
670,1,1,female,24,1,9697,52.0
671,1,2,female,40,2,5748,39.0
672,0,1,male,31,1,4071,52.0
673,0,2,male,70,0,5646,10.5
674,1,2,male,31,0,5004,13.0
675,0,2,male,24,0,7188,0.0
676,0,3,male,18,0,8342,7.775
677,0,3,male,24,0,6755,8.05
678,1,3,female,18,0,7632,9.8417
679,0,3,female,43,7,1050,46.9
680,1,1,male,36,1,1872,512.3292
681,0,3,female,24,0,4349,8.1375
682,1,1,male,27,0,9123,76.7292
683,0,3,male,20,0,1046,9.225
684,0,3,male,14,7,8273,46.9
685,0,2,male,60,2,1744,39.0
686,0,2,male,25,3,6874,41.5792
687,0,3,male,14,5,8398,39.6875
688,0,3,male,19,0,8236,10.1708
689,0,3,male,18,0,5730,7.7958
690,1,1,female,15,1,5243,211.3375
691,1,1,male,31,1,4036,57.0
692,1,3,female,4,1,8015,13.4167
693,1,3,male,24,0,9325,56.4958
694,0,3,male,25,0,2232,7.225
695,0,1,male,60,0,2235,26.55
696,0,2,male,52,0,3381,13.5
697,0,3,male,44,0,2691,8.05
698,1,3,female,24,0,2369,7.7333
699,0,1,male,49,2,5383,110.8833
700,0,3,male,42,0,8805,7.65
701,1,1,female,18,1,1713,227.525
702,1,1,male,35,0,6325,26.2875
703,0,3,female,18,1,6480,14.4542
704,0,3,male,25,0,3915,7.7417
705,0,3,male,26,1,3533,7.8542
706,0,2,male,39,0,7311,26.0
707,1,2,female,45,0,7199,13.5
708,1,1,male,42,0,5673,26.2875
709,1,1,female,22,0,6481,151.55
710,1,3,male,24,2,5598,15.2458
711,1,1,female,24,0,1994,49.5042
712,0,1,male,24,0,1674,26.55
713,1,1,male,48,1,8353,52.0
714,0,3,male,29,0,8763,9.4833
715,0,2,male,52,0,2573,13.0
716,0,3,male,19,0,5559,7.65
717,1,1,female,38,0,5528,227.525
718,1,2,female,27,0,8848,10.5
719,0,3,male,24,0,8012,15.5
720,0,3,male,33,0,9725,7.775
